PANID,WEEK,UNITs,OUTLET,DOLLARS,IRI_KEY,COLUPC,city,chain,*STUBSPEC 1440RC,VOL_EQ,PRODUCT TYPE,FLAVOR/SCENT,FORM,PACKAGE,BREWING METHOD,L5,brand,income,size,race
1101477,1394,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1397,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1397,1,GR,4,248128,22550080031,Pittsfield,3,        +FOLGR REG GRND CFE DECAF   13OZ 0 2 25500 80031 1  1 0.8125RP   06760,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,1,1
1101477,1397,1,GR,2,248128,32550006279,Pittsfield,3,        +FLCOH BKFBL GRND CFE     11.5OZ 0 3 25500  6279 1  1 0.7188RP   02828,1,COFFEE,BREAKFAST BLEND,GROUND,CAN,ALL PURPOSE,FOLGERS COFFEE HOUSE,2,6,1,1
1101477,1399,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1401,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1402,1,GR,4,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101477,1405,1,GR,3,248128,32550006279,Pittsfield,3,        +FLCOH BKFBL GRND CFE     11.5OZ 0 3 25500  6279 1  1 0.7188RP   02828,1,COFFEE,BREAKFAST BLEND,GROUND,CAN,ALL PURPOSE,FOLGERS COFFEE HOUSE,2,6,1,1
1101477,1409,1,GR,4,248128,22550080031,Pittsfield,3,        +FOLGR REG GRND CFE DECAF   13OZ 0 2 25500 80031 1  1 0.8125RP   06760,1,COFFEE,REGULAR,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,1,1
1101477,1410,1,GR,1,248128,12550080258,Pittsfield,3,        +FOLGR CLSRS GRND CFE       13OZ 0 1 25500 80258 1  1 0.8125RP   02763,1,COFFEE,CLASSIC ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,6,1,1
1101477,1425,2,GR,9,248128,12550006763,Pittsfield,3,        +FOLGR HZLNT GRND CFE     11.5OZ 0 1 25500  6763 1  1 0.7188RP   02797,1,COFFEE,HAZELNUT,GROUND,CAN,FOR ALL COFEE MAKERS,FOLGERS,2,6,1,1
1101519,1376,1,GR,3,248128,22550006279,Pittsfield,3,        +FOLGR BKFBL GRND CFE     11.5OZ 0 2 25500  6279 1  1 0.7188RP   02755,1,COFFEE,BREAKFAST BLEND,GROUND,CANISTER,ALL PURPOSE,FOLGERS,2,7,3,1
1101519,1379,1,GR,3,248128,22550006279,Pittsfield,3,        +FOLGR BKFBL GRND CFE     11.5OZ 0 2 25500  6279 1  1 0.7188RP   02755,1,COFFEE,BREAKFAST BLEND,GROUND,CANISTER,ALL PURPOSE,FOLGERS,2,7,3,1
1101519,1379,2,GR,6,248128,32550082100,Pittsfield,3,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,7,3,1
1101519,1390,1,GR,3,248128,32550082100,Pittsfield,3,        +FOLGR FRCHR GRND CFE     11.5OZ 0 3 25500 82100 1  1 0.7188RP   02788,1,COFFEE,FRENCH ROAST,GROUND,CAN,ALL PURPOSE,FOLGERS,2,7,3,1
